ROTO Header[281]*******.0.108:41620
MSG Header[257]0xbabeface-13-1797792923-1
Module Header[249]0x1-0-0:0-30-1-0
-SliceHead:0-1-0-0
-PacketHead:0xbabeface-25-8-217-Data:859256161-GCMNonce[0000001911828ecc35d1aeae]-281-189:*******
10-25 17:25:44.490|MagicLinkParseDataArray|283|[I]:Array is 0
10-25 17:25:44.492|MakeActionOut|715|[I]:no out
10-25 17:25:44.493|ModelNotifyStatus|448|[I]:status:702
current status isrpt:1010-25 17:25:44.494|DownloadThreadFunc|2769|[I]:start download
10-25 17:25:44.494|Download10-25 17:25:44.496|MagicLinkEncot|261|[I]:succ
[I]:action:otaAction no out
10-25 17:25:44.497|TlsNetworkInit|261|[I]:succ
10-25 17:25:44.499|TlsNetworkConnect|342|[I]:host:update.hihonorcdn.com
udp_bind(ipaddr = 0.0.0.0, port = 39560)
                                        10-25 17:25:44.513|SendChannelMessage|193|[I]:[identity:******c269284f74a383589e546ab67a],[1,30,25] send msg[158] success.
10-25 17:25:44.515|ControlMsgReceived|96|[I]:empty
10-25 17:25:44.515|TransReceiveMsg|1431|[I]:succ recv:1
adc raw:  819, temp_IC:   44
Total:129972; Free:47088;
10-25 17:25:47.054|ConnectDispatchFunc|83|[I]:running
10-25 17:25:48.768|TlsNetHandshake|330|[I]:succ
10-25 17:25:48.770|ConnectionHttpSend|143|[I]:send succ
10-25 17:25:49.082|GetOtaInfoNumByLabelBegin|1051|[W]:pointerLeft is null
10-25 17:25:49.084|GetInfosAccordingFilelist|1178|[I]:info:1|flashimage-ota-xz-v0.1.bin|601822
10-25 17:25:49.085|SaveOtaVersionInfo|2225|[I]:newVer:1.0.1.202|454789
10-25 17:25:49.086|MakeJsonRegisterResult|1999|[E]:ext null
10-25 17:25:49.087|MakeJsonRegisterResult|1999|[E]:ext null
type:0 req:43340684, rpt:1051
10-25 17:25:49.848|MagicLinkOtaGetReportInfo|3351|[I]:succ
10-25 17:25:49.850|CloudLinkMqttAsyncPublish|714|[I]:mqtt async pub
10-25 17:25:49.851|MagicLinkRptStatusToCloud|676|[I]:pub succ
10-25 17:25:49.852|ReportOtaServiceStatus|791|[I]:succ
10-25 17:25:49.853|FlashOtaPkgWrite|66|[E]:inv type: 3
10-25 17:25:49.855|ConnectionHttpSend|143|[I]:send succ
10-25 17:25:49.861|LocalCmdProcess|966|[I]:mqtt pub
10-25 17:25:49.923|CloudLinkMqttPublish|1372|[I]:ret:0 qos:1,packetId:51
10-25 17:25:50.065|ConnectionHttpSend|143|[I]:send succ
